ride_date,station_id,daily_ridership,raw_text_field,subway_ridership,bus_ridership,lirr_ridership,metro_north_ridership,access_a_ride_ridership,bridges_tunnels_ridership,pre_pandemic_comparison
2020-10-16,1,100000,MTA Aggregate,100000,100000,83798,47291,0,0,19
2020-10-17,1,100000,MTA Aggregate,100000,100000,43768,37764,0,0,35
2020-10-18,1,100000,MTA Aggregate,100000,100000,34682,30690,0,0,28
2020-10-19,1,100000,MTA Aggregate,100000,100000,89186,44368,0,0,20
2020-10-20,1,100000,MTA Aggregate,100000,100000,86591,42741,0,0,22
2020-10-21,1,100000,MTA Aggregate,100000,100000,86210,44102,0,0,22
2020-10-22,1,100000,MTA Aggregate,100000,100000,88686,45770,0,0,22
2020-10-23,1,100000,MTA Aggregate,100000,100000,89931,51765,0,0,21
2020-10-24,1,100000,MTA Aggregate,100000,100000,43618,38673,0,0,0
2020-10-25,1,100000,MTA Aggregate,100000,100000,33678,28321,0,0,0
2020-10-26,1,100000,MTA Aggregate,100000,100000,86745,43557,0,0,19
2020-10-27,1,100000,MTA Aggregate,100000,100000,87401,43340,0,0,20
2020-10-28,1,100000,MTA Aggregate,100000,100000,86652,43289,0,0,21
2020-10-29,1,100000,MTA Aggregate,100000,100000,81794,41157,0,0,20
2020-10-30,1,100000,MTA Aggregate,100000,100000,84254,47967,0,0,18
2020-10-31,1,100000,MTA Aggregate,100000,100000,41538,34077,0,0,0
2020-11-01,1,100000,MTA Aggregate,100000,100000,29495,22602,0,0,0
2020-11-02,1,100000,MTA Aggregate,100000,100000,87198,40609,0,0,21
2020-11-03,1,100000,MTA Aggregate,100000,100000,82140,39749,0,0,19
2020-11-04,1,100000,MTA Aggregate,100000,100000,81551,38818,0,0,20
2020-11-05,1,100000,MTA Aggregate,100000,100000,86987,41550,0,0,22
2020-11-06,1,100000,MTA Aggregate,100000,100000,89499,48138,0,0,21
2020-11-07,1,100000,MTA Aggregate,100000,100000,46368,35870,0,0,1
2020-11-08,1,100000,MTA Aggregate,100000,100000,38485,27961,0,0,28
2020-11-09,1,100000,MTA Aggregate,100000,100000,91681,42627,0,0,21
2020-11-10,1,100000,MTA Aggregate,100000,100000,91532,43083,0,0,23
2020-11-11,1,100000,MTA Aggregate,100000,100000,83306,40073,0,0,99
2020-11-12,1,100000,MTA Aggregate,100000,100000,86189,40381,0,0,21
2020-11-13,1,100000,MTA Aggregate,100000,100000,86252,45127,0,0,20
2020-11-14,1,100000,MTA Aggregate,100000,100000,41422,31397,0,0,0
2020-11-15,1,100000,MTA Aggregate,100000,100000,30948,20946,0,0,23
2020-11-16,1,100000,MTA Aggregate,100000,100000,89463,41961,0,0,21
